BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;
TP.nlogo;;;;;;;;;;
experiment1;;;;;;;;;;
10/31/2022 11:21:09:370 +0000;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;
-16;16;-16;16;;;;;;;
[run number];alimento_amarelo;armadilhas;nbasics;abrigos;nexperts;alimento_verde;versão-modelo;[step];count turtles;ticks
2;5;1;50;5;0;15;base;384;0;385
3;5;1;50;5;0;15;base;342;0;343
9;5;1;50;5;0;15;base;373;0;374
6;5;1;50;5;0;15;base;447;0;448
7;5;1;50;5;0;15;base;500;1;501
1;5;1;50;5;0;15;base;297;0;298
12;5;1;50;5;0;15;base;460;0;461
4;5;1;50;5;0;15;base;396;0;397
8;5;1;50;5;0;15;base;500;1;501
5;5;1;50;5;0;15;base;450;0;451
15;5;1;50;5;0;15;base;381;0;382
10;5;1;50;5;0;15;base;386;0;387
11;5;1;50;5;0;15;base;500;3;501
14;5;1;50;5;0;15;base;316;0;317
13;5;1;50;5;0;15;base;340;0;341
