BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;
TP.nlogo;;;;;;;;;;;
experiment2;;;;;;;;;;;
10/31/2022 11:37:04:100 +0000;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;
-16;16;-16;16;;;;;;;;
[run number];alimento_amarelo;armadilhas;nbasics;abrigos;nexperts;alimento_verde;versão-modelo;[step];count basics;count experts;ticks
7;5;1;50;5;50;15;base;500;0;50;501
10;5;1;50;5;50;15;base;500;0;50;501
6;5;1;50;5;50;15;base;500;0;50;501
9;5;1;50;5;50;15;base;500;0;50;501
4;5;1;50;5;50;15;base;500;0;50;501
8;5;1;50;5;50;15;base;500;0;50;501
3;5;1;50;5;50;15;base;500;0;50;501
1;5;1;50;5;50;15;base;500;0;50;501
2;5;1;50;5;50;15;base;500;0;50;501
14;5;1;50;5;50;15;base;500;0;50;501
15;5;1;50;5;50;15;base;500;0;50;501
5;5;1;50;5;50;15;base;500;0;50;501
11;5;1;50;5;50;15;base;500;0;50;501
12;5;1;50;5;50;15;base;500;0;49;501
13;5;1;50;5;50;15;base;500;0;50;501
